Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2018,2018,New York,36,55-64 years,55-64,Male,M,2239,1242850,180.2
,2018,2018,North Carolina,37,35-44 years,35-44,Male,M,120,631134,19.0
,2018,2018,North Carolina,37,45-54 years,45-54,Male,M,462,671933,68.8
,2018,2018,North Carolina,37,55-64 years,55-64,Male,M,1223,636355,192.2
,2018,2018,North Dakota,38,35-44 years,35-44,Male,M,10,48016,
,2018,2018,North Dakota,38,45-54 years,45-54,Male,M,23,41137,55.9
,2018,2018,North Dakota,38,55-64 years,55-64,Male,M,70,47869,146.2
,2018,2018,Ohio,39,35-44 years,35-44,Male,M,159,691546,23.0
,2018,2018,Ohio,39,45-54 years,45-54,Male,M,625,733599,85.2
,2018,2018,Ohio,39,55-64 years,55-64,Male,M,1578,779388,202.5
,2018,2018,Oklahoma,40,35-44 years,35-44,Male,M,54,246322,21.9
,2018,2018,Oklahoma,40,45-54 years,45-54,Male,M,208,229029,90.8
,2018,2018,Oklahoma,40,55-64 years,55-64,Male,M,552,238648,231.3
,2018,2018,Oregon,41,35-44 years,35-44,Male,M,14,282597,
,2018,2018,Oregon,41,45-54 years,45-54,Male,M,80,257487,31.1
,2018,2018,Oregon,41,55-64 years,55-64,Male,M,290,261776,110.8
,2018,2018,Pennsylvania,42,35-44 years,35-44,Male,M,113,748035,15.1
,2018,2018,Pennsylvania,42,45-54 years,45-54,Male,M,567,816056,69.5
,2018,2018,Pennsylvania,42,55-64 years,55-64,Male,M,1596,877084,182.0
,2018,2018,Rhode Island,44,35-44 years,35-44,Male,M,,61743,
,2018,2018,Rhode Island,44,45-54 years,45-54,Male,M,32,67536,47.4
,2018,2018,Rhode Island,44,55-64 years,55-64,Male,M,124,71173,174.2
,2018,2018,South Carolina,45,35-44 years,35-44,Male,M,68,297174,22.9
,2018,2018,South Carolina,45,45-54 years,45-54,Male,M,274,311729,87.9
,2018,2018,South Carolina,45,55-64 years,55-64,Male,M,630,317996,198.1
,2018,2018,South Dakota,46,35-44 years,35-44,Male,M,12,53748,
,2018,2018,South Dakota,46,45-54 years,45-54,Male,M,36,49320,73.0
,2018,2018,South Dakota,46,55-64 years,55-64,Male,M,113,58278,193.9
,2018,2018,Tennessee,47,35-44 years,35-44,Male,M,101,414100,24.4
,2018,2018,Tennessee,47,45-54 years,45-54,Male,M,511,432404,118.2
,2018,2018,Tennessee,47,55-64 years,55-64,Male,M,1155,422206,273.6
,2018,2018,Texas,48,35-44 years,35-44,Male,M,347,1946312,17.8
,2018,2018,Texas,48,45-54 years,45-54,Male,M,1229,1762621,69.7
,2018,2018,Texas,48,55-64 years,55-64,Male,M,3184,1570024,202.8
,2018,2018,Utah,49,35-44 years,35-44,Male,M,23,221173,10.4
,2018,2018,Utah,49,45-54 years,45-54,Male,M,65,162894,39.9
,2018,2018,Utah,49,55-64 years,55-64,Male,M,123,147287,83.5
,2018,2018,Vermont,50,35-44 years,35-44,Male,M,,34918,
,2018,2018,Vermont,50,45-54 years,45-54,Male,M,30,39691,75.6
,2018,2018,Vermont,50,55-64 years,55-64,Male,M,94,46990,200.0
,2018,2018,Virginia,51,35-44 years,35-44,Male,M,70,549341,12.7
,2018,2018,Virginia,51,45-54 years,45-54,Male,M,336,552052,60.9
,2018,2018,Virginia,51,55-64 years,55-64,Male,M,796,532585,149.5
,2018,2018,Washington,53,35-44 years,35-44,Male,M,57,509774,11.2
,2018,2018,Washington,53,45-54 years,45-54,Male,M,213,469139,45.4
,2018,2018,Washington,53,55-64 years,55-64,Male,M,704,469403,150.0
,2018,2018,West Virginia,54,35-44 years,35-44,Male,M,33,108963,30.3
,2018,2018,West Virginia,54,45-54 years,45-54,Male,M,125,117479,106.4
,2018,2018,West Virginia,54,55-64 years,55-64,Male,M,347,125636,276.2
,2018,2018,Wisconsin,55,35-44 years,35-44,Male,M,75,356716,21.0
,2018,2018,Wisconsin,55,45-54 years,45-54,Male,M,230,369540,62.2
,2018,2018,Wisconsin,55,55-64 years,55-64,Male,M,637,405508,157.1
,2018,2018,Wyoming,56,35-44 years,35-44,Male,M,,37765,
,2018,2018,Wyoming,56,45-54 years,45-54,Male,M,23,33289,69.1
,2018,2018,Wyoming,56,55-64 years,55-64,Male,M,67,40043,167.3
,2019,2019,Alabama,01,35-44 years,35-44,Male,M,68,286580,23.7
,2019,2019,Alabama,01,45-54 years,45-54,Male,M,227,298707,76.0
,2019,2019,Alabama,01,55-64 years,55-64,Male,M,538,312875,172.0
,2019,2019,Alaska,02,35-44 years,35-44,Male,M,,49965,
,2019,2019,Alaska,02,45-54 years,45-54,Male,M,18,44498,
,2019,2019,Alaska,02,55-64 years,55-64,Male,M,78,48070,162.3
,2019,2019,Arizona,04,35-44 years,35-44,Male,M,61,453981,13.4
,2019,2019,Arizona,04,45-54 years,45-54,Male,M,242,422444,57.3
,2019,2019,Arizona,04,55-64 years,55-64,Male,M,653,420745,155.2
,2019,2019,Arkansas,05,35-44 years,35-44,Male,M,61,184214,33.1
,2019,2019,Arkansas,05,45-54 years,45-54,Male,M,226,177974,127.0
,2019,2019,Arkansas,05,55-64 years,55-64,Male,M,604,185818,325.0
,2019,2019,California,06,35-44 years,35-44,Male,M,290,2672579,10.9
,2019,2019,California,06,45-54 years,45-54,Male,M,1221,2480371,49.2
,2019,2019,California,06,55-64 years,55-64,Male,M,3582,2331519,153.6
,2019,2019,Colorado,08,35-44 years,35-44,Male,M,42,410797,10.2
,2019,2019,Colorado,08,45-54 years,45-54,Male,M,133,358522,37.1
,2019,2019,Colorado,08,55-64 years,55-64,Male,M,403,347948,115.8
,2019,2019,Connecticut,09,35-44 years,35-44,Male,M,18,209855,
,2019,2019,Connecticut,09,45-54 years,45-54,Male,M,127,230814,55.0
