Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,2004,2004,Colorado,08,55-64 years,55-64,466,437960,106.4
,2004,2004,Connecticut,09,55-64 years,55-64,409,370289,110.5
,2004,2004,Delaware,10,55-64 years,55-64,147,88569,166.0
,2004,2004,District of Columbia,11,55-64 years,55-64,123,56734,216.8
,2004,2004,Florida,12,55-64 years,55-64,3022,1923778,157.1
,2004,2004,Georgia,13,55-64 years,55-64,1301,829508,156.8
,2004,2004,Hawaii,15,55-64 years,55-64,148,136741,108.2
,2004,2004,Idaho,16,55-64 years,55-64,172,135383,127.0
,2004,2004,Illinois,17,55-64 years,55-64,1983,1206900,164.3
,2004,2004,Indiana,18,55-64 years,55-64,1066,622598,171.2
,2004,2004,Iowa,19,55-64 years,55-64,461,297811,154.8
,2004,2004,Kansas,20,55-64 years,55-64,360,261557,137.6
,2004,2004,Kentucky,21,55-64 years,55-64,860,440485,195.2
,2004,2004,Louisiana,22,55-64 years,55-64,916,447326,204.8
,2004,2004,Maine,23,55-64 years,55-64,165,152551,108.2
,2004,2004,Maryland,24,55-64 years,55-64,918,574946,159.7
,2004,2004,Massachusetts,25,55-64 years,55-64,789,657707,120.0
,2004,2004,Michigan,26,55-64 years,55-64,1879,1024311,183.4
,2004,2004,Minnesota,27,55-64 years,55-64,446,489300,91.2
,2004,2004,Mississippi,28,55-64 years,55-64,672,286523,234.5
,2004,2004,Missouri,29,55-64 years,55-64,1089,593721,183.4
,2004,2004,Montana,30,55-64 years,55-64,135,104861,128.7
,2004,2004,Nebraska,31,55-64 years,55-64,177,167065,105.9
,2004,2004,Nevada,32,55-64 years,55-64,390,254534,153.2
,2004,2004,New Hampshire,33,55-64 years,55-64,160,139799,114.5
,2004,2004,New Jersey,34,55-64 years,55-64,1165,885260,131.6
,2004,2004,New Mexico,35,55-64 years,55-64,238,195983,121.4
,2004,2004,New York,36,55-64 years,55-64,3269,1953661,167.3
,2004,2004,North Carolina,37,55-64 years,55-64,1490,894026,166.7
,2004,2004,North Dakota,38,55-64 years,55-64,94,61906,151.8
,2004,2004,Ohio,39,55-64 years,55-64,2064,1181099,174.8
,2004,2004,Oklahoma,40,55-64 years,55-64,955,366550,260.5
,2004,2004,Oregon,41,55-64 years,55-64,431,388633,110.9
,2004,2004,Pennsylvania,42,55-64 years,55-64,2054,1322301,155.3
,2004,2004,Rhode Island,44,55-64 years,55-64,186,108229,171.9
,2004,2004,South Carolina,45,55-64 years,55-64,836,459419,182.0
,2004,2004,South Dakota,46,55-64 years,55-64,99,74448,133.0
,2004,2004,Tennessee,47,55-64 years,55-64,1367,638188,214.2
,2004,2004,Texas,48,55-64 years,55-64,3412,1977043,172.6
,2004,2004,Utah,49,55-64 years,55-64,169,177578,95.2
,2004,2004,Vermont,50,55-64 years,55-64,73,71444,102.2
,2004,2004,Virginia,51,55-64 years,55-64,1083,782317,138.4
,2004,2004,Washington,53,55-64 years,55-64,795,636967,124.8
,2004,2004,West Virginia,54,55-64 years,55-64,366,216478,169.1
,2004,2004,Wisconsin,55,55-64 years,55-64,682,548147,124.4
,2004,2004,Wyoming,56,55-64 years,55-64,73,55046,132.6
,2005,2005,Alabama,01,55-64 years,55-64,815,504487,161.6
,2005,2005,Alaska,02,55-64 years,55-64,82,65507,125.2
,2005,2005,Arizona,04,55-64 years,55-64,928,596994,155.4
,2005,2005,Arkansas,05,55-64 years,55-64,646,308071,209.7
,2005,2005,California,06,55-64 years,55-64,4680,3352893,139.6
,2005,2005,Colorado,08,55-64 years,55-64,441,465940,94.6
,2005,2005,Connecticut,09,55-64 years,55-64,380,383215,99.2
,2005,2005,Delaware,10,55-64 years,55-64,169,93127,181.5
,2005,2005,District of Columbia,11,55-64 years,55-64,131,58249,224.9
,2005,2005,Florida,12,55-64 years,55-64,2942,2023617,145.4
,2005,2005,Georgia,13,55-64 years,55-64,1276,876063,145.7
,2005,2005,Hawaii,15,55-64 years,55-64,150,144668,103.7
,2005,2005,Idaho,16,55-64 years,55-64,169,144231,117.2
,2005,2005,Illinois,17,55-64 years,55-64,1963,1254152,156.5
,2005,2005,Indiana,18,55-64 years,55-64,1024,649036,157.8
,2005,2005,Iowa,19,55-64 years,55-64,454,309928,146.5
,2005,2005,Kansas,20,55-64 years,55-64,391,273620,142.9
,2005,2005,Kentucky,21,55-64 years,55-64,888,458920,193.5
,2005,2005,Louisiana,22,55-64 years,55-64,988,466747,211.7
,2005,2005,Maine,23,55-64 years,55-64,188,160575,117.1
,2005,2005,Maryland,24,55-64 years,55-64,919,597231,153.9
,2005,2005,Massachusetts,25,55-64 years,55-64,734,683120,107.4
,2005,2005,Michigan,26,55-64 years,55-64,2075,1067060,194.5
,2005,2005,Minnesota,27,55-64 years,55-64,466,512412,90.9
,2005,2005,Mississippi,28,55-64 years,55-64,703,297902,236.0
,2005,2005,Missouri,29,55-64 years,55-64,1038,616966,168.2
,2005,2005,Montana,30,55-64 years,55-64,136,110849,122.7
,2005,2005,Nebraska,31,55-64 years,55-64,163,175147,93.1
,2005,2005,Nevada,32,55-64 years,55-64,455,268302,169.6
,2005,2005,New Hampshire,33,55-64 years,55-64,170,146914,115.7
,2005,2005,New Jersey,34,55-64 years,55-64,1220,914151,133.5
,2005,2005,New Mexico,35,55-64 years,55-64,255,207446,122.9
,2005,2005,New York,36,55-64 years,55-64,3236,2017490,160.4
,2005,2005,North Carolina,37,55-64 years,55-64,1486,940018,158.1
,2005,2005,North Dakota,38,55-64 years,55-64,87,65048,133.7
,2005,2005,Ohio,39,55-64 years,55-64,2046,1229686,166.4
,2005,2005,Oklahoma,40,55-64 years,55-64,874,378946,230.6
