year,state,state_code,ten_year_age,sex_code,deaths,population,crude_rate
2006,Vermont,50,55-64 years,M,68,39109,173.9
2006,Virginia,51,55-64 years,M,824,408287,201.8
2006,Washington,53,55-64 years,M,545,350672,155.4
2006,West Virginia,54,55-64 years,M,283,116149,243.7
2006,Wisconsin,55,55-64 years,M,529,298339,177.3
2006,Wyoming,56,55-64 years,M,49,31672,154.7
2007,Alabama,01,55-64 years,M,582,259292,224.5
2007,Alaska,02,55-64 years,M,59,39361,149.9
2007,Arizona,04,55-64 years,M,630,314829,200.1
2007,Arkansas,05,55-64 years,M,452,158511,285.2
2007,California,06,55-64 years,M,3378,1745333,193.5
2007,Colorado,08,55-64 years,M,358,258484,138.5
2007,Connecticut,09,55-64 years,M,268,195718,136.9
2007,Delaware,10,55-64 years,M,122,47550,256.6
2007,District of Columbia,11,55-64 years,M,95,27694,343.0
2007,Florida,12,55-64 years,M,2009,1026194,195.8
2007,Georgia,13,55-64 years,M,865,457816,188.9
2007,Hawaii,15,55-64 years,M,125,79144,157.9
2007,Idaho,16,55-64 years,M,146,80612,181.1
2007,Illinois,17,55-64 years,M,1348,646453,208.5
2007,Indiana,18,55-64 years,M,727,339042,214.4
2007,Iowa,19,55-64 years,M,344,166890,206.1
2007,Kansas,20,55-64 years,M,232,147281,157.5
2007,Kentucky,21,55-64 years,M,620,239119,259.3
2007,Louisiana,22,55-64 years,M,683,232419,293.9
2007,Maine,23,55-64 years,M,151,86326,174.9
2007,Maryland,24,55-64 years,M,628,301745,208.1
2007,Massachusetts,25,55-64 years,M,561,350195,160.2
2007,Michigan,26,55-64 years,M,1432,558423,256.4
2007,Minnesota,27,55-64 years,M,351,277634,126.4
2007,Mississippi,28,55-64 years,M,475,153192,310.1
2007,Missouri,29,55-64 years,M,780,318333,245.0
2007,Montana,30,55-64 years,M,120,62781,191.1
2007,Nebraska,31,55-64 years,M,134,94694,141.5
2007,Nevada,32,55-64 years,M,337,144262,233.6
2007,New Hampshire,33,55-64 years,M,134,79561,168.4
2007,New Jersey,34,55-64 years,M,791,459093,172.3
2007,New Mexico,35,55-64 years,M,226,111662,202.4
2007,New York,36,55-64 years,M,2146,1005180,213.5
2007,North Carolina,37,55-64 years,M,1139,492505,231.3
2007,North Dakota,38,55-64 years,M,58,36716,158.0
2007,Ohio,39,55-64 years,M,1518,637727,238.0
2007,Oklahoma,40,55-64 years,M,585,196092,298.3
2007,Oregon,41,55-64 years,M,351,224095,156.6
2007,Pennsylvania,42,55-64 years,M,1579,714841,220.9
2007,Rhode Island,44,55-64 years,M,133,57911,229.7
2007,South Carolina,45,55-64 years,M,603,252549,238.8
2007,South Dakota,46,55-64 years,M,84,43995,190.9
2007,Tennessee,47,55-64 years,M,1007,347067,290.1
2007,Texas,48,55-64 years,M,2556,1113324,229.6
2007,Utah,49,55-64 years,M,153,103708,147.5
2007,Vermont,50,55-64 years,M,66,40656,162.3
2007,Virginia,51,55-64 years,M,794,421361,188.4
2007,Washington,53,55-64 years,M,598,366699,163.1
2007,West Virginia,54,55-64 years,M,285,120119,237.3
2007,Wisconsin,55,55-64 years,M,592,312182,189.6
2007,Wyoming,56,55-64 years,M,66,33393,197.6
2008,Alabama,01,55-64 years,M,551,266305,206.9
2008,Alaska,02,55-64 years,M,50,41619,120.1
2008,Arizona,04,55-64 years,M,703,325075,216.3
2008,Arkansas,05,55-64 years,M,482,162061,297.4
2008,California,06,55-64 years,M,3388,1809088,187.3
2008,Colorado,08,55-64 years,M,368,270978,135.8
2008,Connecticut,09,55-64 years,M,284,200102,141.9
2008,Delaware,10,55-64 years,M,104,49190,211.4
2008,District of Columbia,11,55-64 years,M,95,28213,336.7
2008,Florida,12,55-64 years,M,2083,1047537,198.8
2008,Georgia,13,55-64 years,M,804,473199,169.9
2008,Hawaii,15,55-64 years,M,132,82148,160.7
2008,Idaho,16,55-64 years,M,134,83736,160.0
2008,Illinois,17,55-64 years,M,1418,665429,213.1
2008,Indiana,18,55-64 years,M,806,349388,230.7
2008,Iowa,19,55-64 years,M,351,172664,203.3
2008,Kansas,20,55-64 years,M,277,152303,181.9
2008,Kentucky,21,55-64 years,M,639,246524,259.2
2008,Louisiana,22,55-64 years,M,659,241125,273.3
2008,Maine,23,55-64 years,M,164,88975,184.3
2008,Maryland,24,55-64 years,M,628,308466,203.6
2008,Massachusetts,25,55-64 years,M,552,360111,153.3
2008,Michigan,26,55-64 years,M,1363,571808,238.4
2008,Minnesota,27,55-64 years,M,357,288277,123.8
2008,Mississippi,28,55-64 years,M,476,157044,303.1
2008,Missouri,29,55-64 years,M,854,327121,261.1
2008,Montana,30,55-64 years,M,116,65419,177.3
2008,Nebraska,31,55-64 years,M,110,98183,112.0
2008,Nevada,32,55-64 years,M,299,147605,202.6
2008,New Hampshire,33,55-64 years,M,125,82377,151.7
2008,New Jersey,34,55-64 years,M,757,467853,161.8
2008,New Mexico,35,55-64 years,M,227,115835,196.0
2008,New York,36,55-64 years,M,2226,1028452,216.4
2008,North Carolina,37,55-64 years,M,1183,508196,232.8
2008,North Dakota,38,55-64 years,M,78,38529,202.4
2008,Ohio,39,55-64 years,M,1516,656266,231.0
2008,Oklahoma,40,55-64 years,M,548,201724,271.7
2008,Oregon,41,55-64 years,M,348,232986,149.4
